Location Code,Entry Number,Location,Full Text
SE,15,SE,"We find Kenward Olick's widow doing laundry. She is a hard-faced woman who looks older than her years. She refuses to talk to us. Nor will her neighbours. In fact, we can find out nothing about Olick which might help us in tracking down his killer."
SE,16,SE,"Wiggins, disguised to the point of being almost unrecognisable, meets us by prearrangement at the corner of Penton Place and Kennsington Park Road. ""Leach is what Porky said he was, a dealer in stolen goods. He looked at me funny when I mentioned Clarendon. Said he didn't know him.""ù"
SE,21,SE,"Claude Kilgore is a very smooth customer. He admits to knowing Clarendon but has no idea who Calvin Leach is, or so he says."
SE,24,SE,"As we arrive at Mr Paige's, he opens the door wide open for us. ""Mr Smith, I presume? Come in. As agreed upon on the phone, I've prepared the rental contracts for the month of September, which is a wonderful month in Hertfordshire. I see you've come with friends""ù ""Errr...""ù begins to mumble Wiggins, attempting to stop the dizzying flow of words from Mr Paige. ""Actually...""ù ""You're hesitating? I understand. It's the reputation of the people in the north. Listen, since you're renting for the whole month, I'm ready to make an effort. The woman who was supposed to take the house for the end of August never came to sign the lease, and I'm ready to add two weeks at the end of August for the same price. Is that agreeable?""ù ""But...""ù ""You're still hesitating? Let me tell you about St Albans, Mr Smith, and you'll be convinced that it's the perfect place to spend your vacation. The air is energising, and...""ù ""I'm not Mr Smith.""ù Wiggins finally manages to place between two breaths from his interlocutor, ""We...""ù ""Ah, forgive my mistake, sirs. As you've surely understood, the house is booked until the end of September, but the offseason is simply sublime, and...""ù ""We're not here to rent anything. We...""ù ""Not here to rent? Not here to rent! Sorry, sirs, I don't have time to deal with you. I'm waiting for a client.""ù At that very moment, three knocks sound at the door, and Mr Paige rushes to open the door while pushing us out of it. ""Mr Smith, I presume? Come in. As agreed upon on the phone, I've prepared the rental contracts for the month of September.""ù As the door closes behind us, we hear Mr Paige continue his pitch. ""September is a wonderful month in Hertfordshire...""ù"
SE,85,SE,"When we enter the pharmacy, a small bell rings, making a man wearing a white blouse of questionable cleanliness appear behind the counter. Holding a vial of Dr Saari's elixir in each hand, he asks us what we want. ""We're looking for information about various types of narcotics.""ù ""We don't do that sort of product yet. We only opened a short time ago, and we aren't known by many doctors in London yet. If you want information, go to Gould & Sons. They've been open for long enough, they're bound to be able to answer your queries better than us.""ù"
SW,2,SW,"Our hope to sidle into the Societies Club and corner Langdale Pike alone is a vain one. Luck is with us, however, for Pike is expounding upon the very subject in which we are interested. We take our place on the fringe of the group gathered about him and listen. ""Alas, dear friends, the ""òTerrible Twins' are no more. Poor Guy Clarendon, cut off in his mischievous prime. Poor Loretta Nolan. She must be desolate. The loss of a kindred spirit who would willingly pour champagne down the front of Lady Leeds' new Paris gown solely for her amusement must be a burden more difficult to bear than the loss of a lover.""ù ""I thought they were lovers,""ù says someone in the crowd. ""Dear me, no. Outwardly, they did make an excellent couple. He, tall, handsome, from a monied family. She, beautiful, an heiress in her own right. It could have been a match made in heaven. It was, however, a match made in more infernal regions. They were the brothers Grimm, not Romeo and Juliet.""ù ""Then could Frances Nolan's claim that she and Clarendon were lovers be true?""ù ""It is hard to credit, isn't it. But I believe she claimed that they were in love, not lovers. There is a vast difference and in that difference lies the rub. ""Guy Clarendon had been all but disowned by his father, a father who had grown tired of hushing the scandals and paying the gambling debts. Loretta Nolan had managed to fritter away a considerable fortune in three short years. How were the ""òTerrible Twins' to proceed with extravagant merrymaking when they were so out-of-pocket?""ù He suddenly breaks into peals of laughter. ""You surely remember the 200 cabs filled with 200 beggars they sent to the Richmond May Day Soiree a year ago Ha, ha. The congestion and confusion were so great that none of the real guests could gain entrance before midnight. Delicious! ""But such elaborate pranks cost a pretty penny and I'm afraid Guy and Loretta were fresh out of pennies, pretty or otherwise. Enter sister Frances. A sweet lady, by all accounts, but dull of feature, dull of form and, for Clarendon's and Loretta's purposes, dull of wit. However, her inheritance was still quite intact and that was the real target of Clarendon's affections.""ù As the conversation shifts to the ""òSociety Burglar' centering more on the foibles of the victims than anything else, we leave."
SW,5,SW,"At the London Library our friend Lomax has a ready answer for our question. ""The Mesmer-Braid Institute was founded in 1874 as an asylum for the mentally disturbed. It was named after the 18th century Austrian physician, Anton Mesmer, who first discovered a technique whereby he could induce a quiet, trance-like state in a patient. Because Mesmer ascribed certain mystic qualities to the process, which he called mesmerism, he was largely discredited during his lifetime. In the 1840's, Dr James Braid, an Englishman, became interested in Mesmer's work, refined the process and renamed it hypnotism.""ù"
SW,8,SW,"We meet Mycroft in the Strangers' Room of the enigmatic Diogenes Club. ""Mr Holmes, we're helping your brother on the Guy Clarendon case.""ù ""The Clarendon murder?""ù Mycroft Holmes seems baffled. ""After reading of the case of the dead cab driver with the Roman coins around his neck, I thought ""òsurely, Sherlock is hot on the trail of this one.' The case reeks of Moriarty, and Sherlock never misses a chance to catch Moriarty with his guard down. I can't imagine that he would have time for the Clarendon case also.""ù Wiggins, blushing with shame, admits, ""You're right; your brother is investigating the cabbie with the coins. We're doing this on our own. Do you have any information that might help us?""ù ""No, I can't say as I do. All I know is what I read in The Times, and there is not enough information presented there for me to formulate any theories.""ù We apologise for the intrusion and excuse ourselves."
SW,12,SW,"Mr H.C. Hardinge is more than happy to talk to us about the theft of his wife's emerald bracelet. ""Although I do not know what information I can give you. We were guests at a small dinner party at the home of Otis Richmond. We arrived back home sometime after midnight. As my wife was putting away her finery, she noticed that the bracelet was gone from her jewellery box. Recalling the theft a few nights before at the Baker residence, we summoned the police.""ù ""All the servants were questioned?""ù ""They have all been with us a number of years and I have not the slightest suspicion of any of them, but, yes, the police questioned them quite thoroughly. All were in bed asleep when we arrived home and none heard anything untoward. ""ù ""Nothing else was taken?""ù ""There are quite a number of valuable pieces in my wife's jewellery box and nothing else was taken. Nothing else in the room was even disturbed.""ù ""Yet you are positive that it is not just misplaced?""ù ""My wife actually put it on as she dressed, but decided against wearing it. I saw her put it back in the box.""ù ""Where does she keep the box?""ù ""Her dressing table has a special compartment in the side of it. The box fits it rather neatly.""ù We thank Mr Hardinge for seeing us and we leave."
SW,13,SW,"As is often the case, agitation reigns in the offices of Scotland Yard. While trying to avoid agent Pearse who is rushing down the corridor, we're literally pushed into the office of a certain inspector Herberts. ""... totally, Mr Kilgore, you must... One moment... Excuse-me, sirs, what's going on? Come on, get out, don't you see that I'm on the phone?""ù Confused, we apologise and exit the office. We quickly head to the office of Inspector Lestrade. ""It is a useless enquiry,""ù says a harried Inspector Lestrade. ""Look, Frances Nolan claims not to have known that Clarendon was residing at Halliday's, yet she proceeded directly to his room. She fired a shot from a derringer, in the room where Clarendon was found dead, shot with a small calibre pistol. No, the lady is unquestionably guilty.""ù"
